N,RMSE,R2,MAE
1,29.0816473431565,0.401755560262815,22.8591136494681
2,19.1413575602717,0.584514485153981,15.0885942725097
3,14.1929863812678,0.712989336594201,10.9545503619651
4,12.0306295098848,0.77936613808943,9.52653819956723
5,10.7127482448118,0.821366524043212,8.70004885355003
6,10.5306029623076,0.826588462652204,8.44586708512001
7,10.702078334107,0.819834338714469,8.39484067359927
8,10.6996976754885,0.820276112582265,8.26374132308445
9,10.9989282024945,0.809452007085431,8.53543172696635
10,11.6142344373137,0.784331098409607,8.85740606261609
11,12.4115324855317,0.747777959547416,9.44005552497152
12,13.0706694119349,0.714477392566168,9.89702821436865
13,13.6864609720113,0.680339809435036,10.5020130134695
14,14.4642892386412,0.632368443677184,11.2723552594153
15,15.3416749304165,0.571613087410569,12.1333801658277
16,16.0706041199586,0.514381147296558,13.0507525952092
17,16.6368030747799,0.464072778711368,13.8250753737981
18,17.269281840732,0.402530732407066,14.6412003067878
19,17.8633186099288,0.337318576827053,15.4627604775932
20,18.4175977436936,0.268333195784718,16.2558164615064
21,18.9287365197781,0.195578549092006,17.0118589327378
22,19.3483263779289,0.125353079662978,17.6715041511514
23,19.7090403662289,0.0544545526603623,18.2626645370729
24,20.0334145279884,-0.0217363758746588,18.8161205191933
25,20.2812144782812,-0.0944220264488851,19.2670621598411
26,20.4055431846596,-0.155335806080127,19.5732121301829
27,20.5251061896755,-0.224558912974002,19.8600375052788
28,20.5637758450323,-0.284994476357035,20.0383926734645
29,20.4248730369256,-0.320986164052363,20.0258986585686
30,20.3298564517275,-0.363468241789014,20.0271593423201
31,20.2294009445025,-0.402471644888403,19.9995559873125
32,20.0995720671418,-0.441788819448993,19.9329998524955
33,19.8882556607023,-0.45384491569055,19.7686934191634
34,19.612638182496,-0.4246024839416,19.5253992000049
35,19.3344671722707,-0.354204985497628,19.2676121514331
36,19.0888927961191,-0.253694009789064,19.0352938337807
37,18.7896345622673,-0.0572857824260518,18.7418948206614
38,18.4747667501528,0.185334731838123,18.430105029914
39,18.163734690184,0.403503550539692,18.119106962815
40,17.8478858770292,0.572857801166225,17.802674090756
41,17.5590503928043,0.677459353440541,17.5116660715691
42,17.2872618736211,0.742048653067083,17.2362556646957
43,17.0249119884562,0.791686096814387,16.9717936827377
44,16.8101338572277,0.813975510583809,16.7515117976306
45,16.6690156763091,0.811545592259818,16.5993041428977
46,16.5259815147332,0.816975182622529,16.4483600965956
47,16.4560009665941,0.801739352624974,16.3628214290011
48,16.4379135339145,0.779364792058907,16.3266125419576
49,16.4926982460899,0.742708711384367,16.3575135945993
50,16.5618830688163,0.708451741384675,16.4045412241557
51,16.6424884433069,0.677475562398613,16.466881367426
52,16.7917746848778,0.629682008903522,16.592337234751
53,17.0029901291707,0.568521755846574,16.7788428031163
54,17.2186590135175,0.509747437318251,16.9779178279358
55,17.4021459383876,0.460333537346694,17.1521805301826
56,17.6294533282112,0.397625954530442,17.3709888977799
57,17.8693556246005,0.33038742818046,17.6090409478174
58,18.1098389778409,0.26030863875463,17.8549348281358
59,18.346798260254,0.186740621459793,18.1019303597165
60,18.552567851204,0.118051074187098,18.3220785911342
61,18.7458697201153,0.0474492892363379,18.5339753683597
62,18.935594892609,-0.0294168611955806,18.7450257142443
63,19.0971271120759,-0.104393022552999,18.9296817420871
64,19.2105462583164,-0.169372274565744,19.0667249119141
65,19.3163854923424,-0.242514500218191,19.1972479514361
66,19.3828859425574,-0.307873635246123,19.2860017825393
67,19.3514555742497,-0.362612809421908,19.282803130516
68,19.3390910420569,-0.408787488884626,19.2859792636711
69,19.3167935301483,-0.45522110851262,19.2764689278354
70,19.2744286658325,-0.502602269119826,19.245264201847
71,19.1923996988273,-0.513837892024343,19.1705177792606
72,19.0675453435022,-0.469605687842939,19.050494631256
73,18.9393149646255,-0.368505087216363,18.9247302038258
74,18.8252991918487,-0.234385491339941,18.812198023056
75,18.6701185413411,0.0153215893184607,18.6579120067212
76,18.5078091159538,0.279526660222805,18.494972482228
77,18.3346706622196,0.486481836763481,18.3206773227273
78,18.1547702743437,0.642920843191126,18.1403996864224
79,17.9941350358454,0.731843645747201,17.9791385343952
80,17.842236921717,0.781019630676593,17.825923985789
81,17.6902736788396,0.825098940191948,17.6735345608395
82,17.5585120667017,0.842737135214459,17.5401066051018
83,17.4756504441027,0.834480451501101,17.4536879323185
84,17.3866287375275,0.847014323157036,17.3638616368748
85,17.3310288509729,0.837780459719386,17.3048057601417
86,17.309548149022,0.812509162208579,17.2774207261933
87,17.3362256135978,0.772668758985713,17.2963588118461
88,17.3714699909248,0.737132537783683,17.324674426525
89,17.409715506803,0.70543119289616,17.3567865688376
90,17.4919790980453,0.6553157030051,17.4309087303509
91,17.6149387411792,0.588997138829992,17.5446444056483
92,17.7376292826137,0.526769908669189,17.660340277972
93,17.8460501046268,0.474275251849612,17.7646425370557
94,17.9839289660634,0.408611380478424,17.8995227150761
95,18.1252067416264,0.339770958044599,18.0392806522727
96,18.2735601254188,0.264958023960404,18.1878709126223
97,18.4219079954434,0.186918803304803,18.3388688546468
98,18.553968917078,0.113064847917761,18.4756830252502
99,18.6782131504157,0.0375531617158584,18.6058641209567
100,18.8001780945167,-0.0438932115748076,18.7345521531334
101,18.9070636460008,-0.126175226449927,18.8500554119373
102,18.9795160090414,-0.194390059372379,18.9307719797105
103,19.0479754101966,-0.269856020086093,19.0072945889966
104,19.0915432913141,-0.338582415992962,19.0585557276565
105,19.0524104794247,-0.372665070785511,19.0282684565125
106,19.0318700779725,-0.401204201228706,19.0126464081353
107,19.0058224905832,-0.418562429225874,18.990120152813
108,18.9797777450554,-0.444175708903321,18.9673821821845
109,18.9197728122751,-0.406806862203343,18.9092118228856
110,18.8301290670282,-0.293595436768619,18.8207993802245
111,18.7424440866584,-0.140227516805406,18.73388486962
112,18.6603608887812,0.0313038694061081,18.6519216111907
113,18.5544951132096,0.2453496766556,18.5459012595037
114,18.4442456007185,0.435513827179652,18.4356508953775
115,18.3257593658493,0.587835866429341,18.3170495743808
116,18.2089289175329,0.683659680860218,18.1997253371363
117,18.1052267267705,0.742316089071844,18.0954787054571
118,18.0047200942335,0.788821629515698,17.994667706299
119,17.9068236594903,0.827066401633892,17.8967244044343
120,17.815916269934,0.849067787111039,17.8053888707106
121,17.7583700341189,0.841323980549272,17.7460420045835
122,17.7013834350004,0.843388496554606,17.6879226247098
123,17.6616370299919,0.840463863642836,17.6470026940615
124,17.6373978721873,0.827445211590924,17.6207223230471
125,17.6517756910967,0.789095660342832,17.6309104545712
126,17.6784591193168,0.748777309318826,17.6532389250376
127,17.7017094152987,0.721280747785411,17.6735600104504
128,17.7593800688816,0.675934782439441,17.7274593969781
129,17.8497105959828,0.610470689736121,17.8130083207488
130,17.940704261447,0.548141236585996,17.9002728801449
131,18.0211365124026,0.495508024286052,17.9783958031656
132,18.1454577690698,0.418833205669825,18.1022294599857
133,18.2487789975529,0.34912855448405,18.2046880542933
134,18.3366770876462,0.285506783297133,18.2910197861714
135,18.4441368000373,0.209291622391878,18.3997048006172
136,18.5270290442293,0.148098810049588,18.4851316030985
137,18.6138798176777,0.0782305294403486,18.5750133638581
138,18.7119852982867,-0.00895939392257457,18.6766552728169
139,18.7949693507763,-0.0932743972714319,18.7641176785472
140,18.8480880745185,-0.159188182057203,18.8215636786802
141,18.8949610536089,-0.228878392619503,18.8726402292239
142,18.9289775312871,-0.298508990399185,18.9108567856543
143,18.9663718359389,-0.422763963988459,18.952263894483
144,18.9598310997327,-0.482658669290243,18.9487744533572
145,18.9479832619903,-0.541761155829836,18.9392464993575
146,18.9309919878827,-0.617537920509924,18.9242398936495
147,18.882948567789,-0.619630801920488,18.8772714028349
148,18.8181455113197,-0.507896709989176,18.8128572209642
149,18.7468068069825,-0.320519966335139,18.7418829961764
150,18.678887592745,-0.027057212081518,18.6736055920655
